show_id;type;title;director;date_added;release_year;rating_ages;description;time;unit_time
s31;Movie;Ankahi Kahaniya;Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary;2021-09-17;2021;Teens;As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.;111;Minutes
s32;TV Show;Chicago Party Aunt;Unknown;2021-09-17;2021;Adults;Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.;1;Seasons
s33;TV Show;Sex Education;Unknown;2021-09-17;2020;Adults;Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.;3;Seasons
s34;TV Show;Squid Game;Unknown;2021-09-17;2021;Adults;Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.;1;Seasons
s35;TV Show;Tayo and Little Wizards;Unknown;2021-09-17;2020;Older Kids;Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.;1;Seasons
s36;Movie;The Father Who Moves Mountains;Daniel Sandu;2021-09-17;2021;Adults;When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.;110;Minutes
s37;Movie;The Stronghold;Cédric Jimenez;2021-09-17;2021;Adults;Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.;105;Minutes
s38;TV Show;Angry Birds;Unknown;2021-09-16;2018;Older Kids;Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.;1;Seasons
s39;Movie;Birth of the Dragon;George Nolfi;2021-09-16;2017;Teens;A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.;96;Minutes
s40;TV Show;Chhota Bheem;Unknown;2021-09-16;2021;Older Kids;A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.;3;Seasons
s41;TV Show;He-Man and the Masters of the Universe;Unknown;2021-09-16;2021;Older Kids;Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.;1;Seasons
s42;Movie;Jaws;Steven Spielberg;2021-09-16;1975;Older Kids;When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.;124;Minutes
s43;Movie;Jaws 2;Jeannot Szwarc;2021-09-16;1978;Older Kids;Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.;116;Minutes
s44;Movie;Jaws 3;Joe Alves;2021-09-16;1983;Older Kids;After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.;98;Minutes
s45;Movie;Jaws: The Revenge;Joseph Sargent;2021-09-16;1987;Teens;After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.;91;Minutes
s46;Movie;My Heroes Were Cowboys;Tyler Greco;2021-09-16;2021;Older Kids;Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.;23;Minutes
s47;Movie;Safe House;Daniel Espinosa;2021-09-16;2012;Adults;Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.;115;Minutes
s48;TV Show;The Smart Money Woman;Bunmi Ajakaiye;2021-09-16;2020;Adults;Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.;1;Seasons
s49;Movie;Training Day;Antoine Fuqua;2021-09-16;2001;Adults;A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.;122;Minutes
s50;TV Show;Castle and Castle;Unknown;2021-09-15;2021;Adults;A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.;2;Seasons
s51;TV Show;Dharmakshetra;Unknown;2021-09-15;2014;Older Kids;After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.;1;Seasons
s52;Movie;InuYasha the Movie 2: The Castle Beyond the Looking Glass;Toshiya Shinohara;2021-09-15;2002;Teens;With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.;99;Minutes
s53;Movie;InuYasha the Movie 3: Swords of an Honorable Ruler;Toshiya Shinohara;2021-09-15;2003;Teens;The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.;99;Minutes
s54;Movie;InuYasha the Movie 4: Fire on the Mystic Island;Toshiya Shinohara;2021-09-15;2004;Older Kids;Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.;88;Minutes
s55;Movie;InuYasha the Movie: Affections Touching Across Time;Toshiya Shinohara;2021-09-15;2001;Older Kids;A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.;100;Minutes
s56;TV Show;Nailed It;Unknown;2021-09-15;2021;Older Kids;Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.;6;Seasons
s57;Movie;Naruto Shippuden the Movie: Blood Prison;Masahiko Murata;2021-09-15;2011;Teens;Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.;102;Minutes
s58;Movie;Naruto Shippûden the Movie: Bonds;Hajime Kamegaki;2021-09-15;2008;Older Kids;When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.;93;Minutes
s59;Movie;Naruto Shippûden the Movie: The Will of Fire;Masahiko Murata;2021-09-15;2009;Older Kids;When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.;96;Minutes
s60;Movie;Naruto Shippuden: The Movie;Hajime Kamegaki;2021-09-15;2007;Older Kids;The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.;95;Minutes
s61;Movie;Naruto Shippuden: The Movie: The Lost Tower;Masahiko Murata;2021-09-15;2010;Teens;When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.;85;Minutes
s62;Movie;Naruto the Movie 2: Legend of the Stone of Gelel;Hirotsugu Kawasaki;2021-09-15;2005;Older Kids;While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.;97;Minutes
s63;Movie;Naruto the Movie 3: Guardians of the Crescent Moon Kingdom;Toshiyuki Tsuru;2021-09-15;2006;Older Kids;Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.;95;Minutes
s64;Movie;Naruto the Movie: Ninja Clash in the Land of Snow;Tensai Okamura;2021-09-15;2004;Older Kids;Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.;83;Minutes
s65;Movie;Nightbooks;David Yarovesky;2021-09-15;2021;Older Kids;Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.;103;Minutes
s66;TV Show;Numberblocks;Unknown;2021-09-15;2021;Kids;In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.;6;Seasons
s67;TV Show;Raja Rasoi Aur Anya Kahaniyan;Unknown;2021-09-15;2014;Kids;Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.;1;Seasons
s68;TV Show;Saved by the Bell;Unknown;2021-09-15;1994;Older Kids;From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.;9;Seasons
s69;Movie;Schumacher;Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech;2021-09-15;2021;Teens;Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.;113;Minutes
s70;TV Show;Stories by Rabindranath Tagore;Unknown;2021-09-15;2015;Older Kids;The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.;1;Seasons
s71;TV Show;Too Hot To Handle: Latino;Unknown;2021-09-15;2021;Adults;On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.;1;Seasons
s72;Movie;A StoryBots Space Adventure;David A. Vargas;2021-09-14;2021;Kids;Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.;13;Minutes
s73;TV Show;Jack Whitehall: Travels with My Father;Unknown;2021-09-14;2021;Adults;Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.;5;Seasons
s74;Movie;King of Boys;Kemi Adetiba;2021-09-14;2018;Adults;When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.;182;Minutes
s75;TV Show;The World's Most Amazing Vacation Rentals;Unknown;2021-09-14;2021;Older Kids;With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.;2;Seasons
s76;Movie;You vs. Wild: Out Cold;Ben Simms;2021-09-14;2021;Kids;After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.;106;Minutes
s77;TV Show;Yowamushi Pedal;Unknown;2021-09-14;2013;Teens;A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.;1;Seasons
s78;Movie;Little Singham - Black Shadow;Prakash Satam;2021-09-11;2021;Older Kids;Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?;48;Minutes
s79;Movie;Tughlaq Durbar;Delhiprasad Deenadayalan;2021-09-11;2020;Teens;A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.;145;Minutes
s80;Movie;Tughlaq Durbar (Telugu);Delhiprasad Deenadayalan;2021-09-11;2021;Teens;A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.;145;Minutes
s81;Movie;Firedrake the Silver Dragon;Tomer Eshed;2021-09-10;2021;Older Kids;When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.;93;Minutes
s82;Movie;Kate;Cedric Nicolas-Troyan;2021-09-10;2021;Adults;Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.;106;Minutes
s83;TV Show;Lucifer;Unknown;2021-09-10;2021;Teens;Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.;6;Seasons
s84;TV Show;Metal Shop Masters;Unknown;2021-09-10;2021;Adults;On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.;1;Seasons
s85;Movie;Omo Ghetto: the Saga;JJC Skillz, Funke Akindele;2021-09-10;2020;Adults;Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.;147;Minutes
s86;TV Show;Pokémon Master Journeys: The Series;Unknown;2021-09-10;2021;Older Kids;As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!;1;Seasons
s87;Movie;Prey;Thomas Sieben;2021-09-10;2021;Adults;A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.;87;Minutes
s88;TV Show;Titipo Titipo;Unknown;2021-09-10;2019;Kids;Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.;2;Seasons
s89;Movie;Blood Brothers: Malcolm X & Muhammad Ali;Marcus Clarke;2021-09-09;2021;Teens;From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.;96;Minutes
s90;TV Show;Mighty Raju;Unknown;2021-09-09;2017;Older Kids;Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!;4;Seasons
s91;Movie;Paradise Hills;Alice Waddington;2021-09-09;2019;Adults;Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.;95;Minutes
s92;Movie;The Women and the Murderer;Mona Achache, Patricia Tourancheau;2021-09-09;2021;Teens;This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.;92;Minutes
s93;TV Show;Into the Night;Unknown;2021-09-08;2021;Adults;Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.;2;Seasons
s94;Movie;JJ+E;Alexis Almström;2021-09-08;2021;Adults;Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?;91;Minutes
s95;Movie;Show Dogs;Raja Gosnell;2021-09-08;2018;Older Kids;A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.;90;Minutes
s96;TV Show;The Circle;Unknown;2021-09-08;2021;Adults;Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.;3;Seasons
s97;Movie;If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd;Stephen Kijak;2021-09-07;2018;Adults;Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.;97;Minutes
s98;TV Show;Kid Cosmic;Unknown;2021-09-07;2021;Older Kids;A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.;2;Seasons
s99;TV Show;Octonauts: Above & Beyond;Unknown;2021-09-07;2021;Kids;The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.;1;Seasons
s100;TV Show;On the Verge;Unknown;2021-09-07;2021;Adults;Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.;1;Seasons
s101;TV Show;Tobot Galaxy Detectives;Unknown;2021-09-07;2019;Older Kids;An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil.;2;Seasons
s102;Movie;Untold: Breaking Point;Chapman Way, Maclain Way;2021-09-07;2021;Adults;Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.;80;Minutes
s103;TV Show;Countdown: Inspiration4 Mission to Space;Jason Hehir;2021-09-06;2021;Teens;From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.;1;Seasons
s104;Movie;Shadow Parties;Yemi Amodu;2021-09-06;2020;Adults;A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.;117;Minutes
s105;TV Show;Tayo the Little Bus;Unknown;2021-09-06;2016;Kids;As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.;2;Seasons
s106;Movie;Angamaly Diaries;Lijo Jose Pellissery;2021-09-05;2017;Teens;After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.;128;Minutes
s107;TV Show;Bunk'd;Unknown;2021-09-05;2021;Kids;The Ross siblings of Disney's hit series Jessie spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.;5;Seasons
s108;Movie;A Champion Heart;David de Vos;2021-09-04;2018;Kids;When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.;90;Minutes
s109;TV Show;Dive Club;Unknown;2021-09-03;2021;Kids;On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.;1;Seasons
s110;TV Show;La casa de papel;Unknown;2021-09-03;2021;Adults;Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.;5;Seasons
s111;TV Show;Money Heist: From Tokyo to Berlin;Luis Alfaro, Javier Gómez Santander;2021-09-03;2021;Adults;The filmmakers and actors behind Money Heist characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.;1;Seasons
s112;TV Show;Sharkdog;Unknown;2021-09-03;2021;Kids;Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.;1;Seasons
s113;Movie;Worth;Sara Colangelo;2021-09-03;2021;Teens;In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.;119;Minutes
s114;Movie;Afterlife of the Party;Stephen Herek;2021-09-02;2021;Older Kids;Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.;110;Minutes
s115;Movie;Anjaam;Rahul Rawail;2021-09-02;1994;Teens;A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.;143;Minutes
s116;Movie;Bright Star;Jane Campion;2021-09-02;2009;Older Kids;This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.;119;Minutes
s117;Movie;Dhanak;Nagesh Kukunoor;2021-09-02;2015;Older Kids;A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.;114;Minutes
s118;Movie;Final Account;Luke Holland;2021-09-02;2021;Teens;This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.;94;Minutes
s119;Movie;Gurgaon;Shanker Raman;2021-09-02;2017;Teens;When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.;106;Minutes
s120;Movie;Here and There;JP Habac;2021-09-02;2020;Adults;After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic.;99;Minutes
s121;TV Show;Heroes of Goo Jit Zu;Unknown;2021-09-02;2021;Older Kids;After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers.;1;Seasons
s122;TV Show;Hotel Del Luna;Unknown;2021-09-02;2019;Teens;When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.;1;Seasons
s123;Movie;In the Cut;Jane Campion;2021-09-02;2003;Adults;After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.;118;Minutes
s124;TV Show;Luv Kushh;Unknown;2021-09-02;2012;Older Kids;Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood.;1;Seasons
s125;TV Show;Pororo - The Little Penguin;Unknown;2021-09-02;2013;Older Kids;On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.;3;Seasons
s126;TV Show;Q-Force;Unknown;2021-09-02;2021;Adults;A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!;1;Seasons
s127;Movie;Shikara;Vidhu Vinod Chopra;2021-09-02;2020;Teens;A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.;115;Minutes
s128;Movie;A Cinderella Story;Mark Rosman;2021-09-01;2004;Older Kids;Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?;95;Minutes
s129;Movie;Agatha Christie's Crooked House;Gilles Paquet-Brenner;2021-09-01;2017;Teens;When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family.;115;Minutes
s130;Movie;An Unfinished Life;Lasse Hallström;2021-09-01;2005;Teens;A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.;108;Minutes
s131;Movie;Barbie Big City Big Dreams;Scott Pleydell-Pearce;2021-09-01;2021;Kids;At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends.;63;Minutes
s132;Movie;Blade Runner: The Final Cut;Ridley Scott;2021-09-01;1982;Adults;In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped replicants.;117;Minutes
s133;TV Show;Brave Animated Series;Unknown;2021-09-01;2021;Adults;A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.;1;Seasons
s134;Movie;Chappie;Neill Blomkamp;2021-09-01;2015;Adults;In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.;121;Minutes
s135;Movie;Clear and Present Danger;Phillip Noyce;2021-09-01;1994;Teens;When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.;142;Minutes
s136;Movie;Cliffhanger;Renny Harlin;2021-09-01;1993;Adults;Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.;113;Minutes
s137;Movie;Cold Mountain;Anthony Minghella;2021-09-01;2003;Adults;This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.;154;Minutes
s138;Movie;Crocodile Dundee in Los Angeles;Simon Wincer;2021-09-01;2001;Older Kids;When Mick Crocodile Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.;95;Minutes
s139;Movie;Dear John;Lasse Hallström;2021-09-01;2010;Teens;While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.;108;Minutes
s140;Movie;Do the Right Thing;Spike Lee;2021-09-01;1989;Adults;On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.;120;Minutes
s141;Movie;El patrón, radiografía de un crimen;Sebastián Schindel;2021-09-01;2014;Adults;A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.;100;Minutes
