actor_id;actor
122;Elizaveta Maximová
123;Klara Castanho
124;Lucca Picon
125;Júlia Gomes
126;Marcus Bessa
127;Kiria Malheiros
128;Fernanda Concon
129;Gabriel Lima
130;Caio Cabral
131;Leonardo Cidade
132;Jade Cardozo
133;Logan Browning
134;Brandon P. Bell
135;DeRon Horton
136;Antoinette Robertson
137;John Patrick Amedori
138;Ashley Blaine Featherson
139;Marque Richardson
140;Giancarlo Esposito
141;Luis Ernesto Franco
142;Camila Sodi
143;Sergio Goyri
144;Samadhi Zendejas
145;Eduardo Yáñez
146;Sonya Smith
147;Alejandro Camacho
148;Azela Robinson
149;Uriel del Toro
150;Géraldine Bazán
151;Gabriela Roel
152;Marcus Ornellas
153;Freida Pinto
154;Logan Marshall-Green
155;Robert John Burke
156;Megan Elisabeth Kelly
157;Sarah Minnich
158;Hayes Hargrove
159;Mark Sivertsen
160;Brandon Fierro
161;Antonio Valles
162;Clint Obenchain
163;Blanca Suárez
164;Iván Marcos
165;Óscar Casas
166;Adrián Lastra
167;Francesc Garrido
168;Stefan Weinert
169;Julia Möller
170;Alicia Chojnowski
171;Engin Altan Düzyatan
172;Serdar Gökhan
173;Hülya Darcan
174;Kaan Taşaner
175;Esra Bilgiç
176;Osman Soykut
177;Serdar Deniz
178;Cengiz Coşkun
179;Reshad Strik
180;Hande Subaşı
181;Kamal Hassan
182;Meena
183;Gemini Ganesan
184;Heera Rajgopal
185;Nassar
186;S.P. Balasubrahmanyam
187;Maisie Benson
188;Paul Killam
189;Kerry Gudjohnsen
190;AC Lim
191;Prashanth
192;Aishwarya Rai Bachchan
193;Sri Lakshmi
194;Brooke Satchwell
195;Arvind Swamy
196;Kajol
197;Prabhu Deva
198;Girish Karnad
199;Adam Sandler
200;Kevin James
201;Chris Rock
202;David Spade
203;Rob Schneider
204;Salma Hayek
205;Maria Bello
206;Maya Rudolph
207;Colin Quinn
208;Tim Meadows
209;Joyce Van Patten
210;Keri Russell
211;Josh Hamilton
212;J.K. Simmons
213;Dakota Goyo
214;Kadan Rockett
215;L.J. Benet
216;Rich Hutchman
217;Myndy Crist
218;Annie Thurman
219;Jake Brennan
220;Liam Hemsworth
221;Gary Oldman
222;Amber Heard
223;Harrison Ford
224;Lucas Till
225;Embeth Davidtz
226;Julian McMahon
227;Josh Holloway
228;Richard Dreyfuss
229;Angela Sarafyan
230;Abhishek Banerjee
231;Rinku Rajguru
232;Delzad Hiwale
233;Kunal Kapoor
234;Zoya Hussain
235;Nikhil Dwivedi
236;Palomi Ghosh
237;Lauren Ash
238;Rory O'Malley
239;RuPaul Charles
240;Jill Talley
241;Ike Barinholtz
242;Jon Barinholtz
243;Matthew Craig
244;Bob Odenkirk
245;Mike Hagerty
246;Katie Rich
247;Chris Witaske
248;Asa Butterfield
249;Gillian Anderson
250;Ncuti Gatwa
251;Emma Mackey
252;Connor Swindells
253;Kedar Williams-Stirling
254;Alistair Petrie
255;Lee Jung-jae
256;Park Hae-soo
257;Wi Ha-jun
258;Oh Young-soo
259;Jung Ho-yeon
260;Heo Sung-tae
261;Kim Joo-ryoung
262;Tripathi Anupam
263;You Seong-joo
264;Lee You-mi
265;Dami Lee
266;Jason Lee
267;Bommie Catherine Han
268;Jennifer Waescher
269;Nancy Kim
270;Adrian Titieni
271;Elena Purea
272;Judith State
273;Valeriu Andriuță
274;Tudor Smoleanu
275;Virgil Aioanei
276;Radu Botar
277;Petronela Grigorescu
278;Bogdan Nechifor
279;Cristian Bota
280;Gilles Lellouche
281;Karim Leklou
282;François Civil
283;Adèle Exarchopoulos
284;Kenza Fortas
285;Cyril Lecomte
286;Michaël Abiteboul
287;Idir Azougli
288;Vincent Darmuzey
289;Jean-Yves Berteloot
290;Antti Pääkkönen
291;Heljä Heikkinen
292;Lynne Guaglione
293;Pasi Ruohonen
294;Rauno Ahonen
295;Billy Magnussen
296;Ron Yuan
297;Qu Jingjing
298;Terry Chen
299;Vanness Wu
300;Jin Xing
301;Philip Ng
302;Xia Yu
303;Yu Xia
304;Vatsal Dubey
305;Julie Tejwani
306;Rupa Bhimani
307;Jigna Bhardwaj
308;Rajesh Kava
309;Mousam
310;Swapnil
311;Yuri Lowenthal
312;Kimberly Brooks
313;Antony Del Rio
314;Trevor Devall
315;Ben Diskin
316;Grey Griffin
317;David Kaye
318;Tom Kenny
319;Judy Alice Lee
320;Roger Craig Smith
321;Fred Tatasciore
322;Roy Scheider
323;Robert Shaw
324;Lorraine Gary
325;Murray Hamilton
326;Carl Gottlieb
327;Jeffrey Kramer
328;Susan Backlinie
329;Jonathan Filley
330;Ted Grossman
331;Joseph Mascolo
332;Collin Wilcox Paxton
333;Ann Dusenberry
334;Mark Gruner
335;Barry Coe
336;Susan French
337;Dennis Quaid
338;Bess Armstrong
339;Simon MacCorkindale
340;Louis Gossett Jr.
341;John Putch
342;Lea Thompson
343;P.H. Moriarty
344;Dan Blasko
345;Liz Morris
346;Lisa Maurer
347;Lance Guest
348;Mario Van Peebles
349;Karen Young
350;Michael Caine
351;Judith Barsi
352;Mitchell Anderson
353;Lynn Whitfield
354;Denzel Washington
355;Ryan Reynolds
356;Vera Farmiga
357;Brendan Gleeson
358;Sam Shepard
359;Rubén Blades
360;Nora Arnezeder
361;Robert Patrick
362;Liam Cunningham
363;Joel Kinnaman
364;Osas Ighodaro
365;Ini Dima-Okojie
366;Kemi Lala Akindoju
367;Toni Tones
368;Ebenezer Eno
369;Eso Okolocha DIke
370;Patrick Diabuah
371;Karibi Fubara
372;Temisan Emmanuel
373;Timini Egbuson
374;Ethan Hawke
375;Scott Glenn
376;Tom Berenger
377;Harris Yulin
378;Raymond J. Barry
379;Cliff Curtis
380;Dr. Dre
381;Snoop Dogg
382;Macy Gray
383;Eva Mendes
384;Richard Mofe-Damijo
385;Dakore Akande
386;Bimbo Manuel
387;Blossom Chukwujekwu
388;Deyemi Okanlawon
389;Etim Effiong
390;Denola Grey
391;Duke Akintola
392;Eku Edewor
393;Ade Laoye
394;Anee Icha
395;Kevin Ushi
396;Jude Chukwuka
397;Amanda Afolabi
398;Kashmira Irani
399;Chandan Anand
400;Dinesh Mehta
401;Ankit Arora
402;Pushkar Goggiaa
403;Anjali Rana
404;Aarya DharmChand Kumar
405;Amit Behl
406;Maleeka Ghai
407;Kappei Yamaguchi
408;Satsuki Yukino
409;Mieko Harada
410;Koji Tsujitani
411;Houko Kuwashima
412;Kumiko Watanabe
413;Noriko Hidaka
414;Kenichi Ogata
415;Toshiyuki Morikawa
416;Izumi Ogami
417;Ken Narita
418;Akio Otsuka
419;Kikuko Inoue
420;Cho
421;Mamiko Noto
422;Nobutoshi Canna
423;Hisako Kyoda
424;Tomokazu Seki
425;Nicole Byer
426;Jacques Torres
427;Junko Takeuchi
428;Chie Nakamura
429;Rikiya Koyama
430;Kazuhiko Inoue
431;Masaki Terasoma
432;Mie Sonozaki
433;Yuichi Nakamura
434;Kengo Kawanishi
435;Kosei Hirota
436;Masako Katsuki
437;Noriaki Sugiyama
438;Unsho Ishizuka
439;Motoko Kumai
440;Showtaro Morikubo
441;Nana Mizuki
442;Satoshi Hino
443;Shinji Kawada
444;Kentaro Ito
445;Ryoka Yuzuki
446;Kohsuke Toriumi
447;Yoichi Masukawa
448;Koichi Tochika
449;Yukari Tamura
450;Ayumi Fujimura
451;Keisuke Oda
452;Daisuke Kishio
453;Fumiko Orikasa
454;Hidetoshi Nakamura
455;Tetsuya Kakihara
456;Kisho Taniyama
457;Miyuki Sawashiro
458;Katsuyuki Konishi
459;Keiko Nemoto
460;Masashi Ebara
461;Romi Park
462;Daisuke Ono
463;Seizo Kato
464;Nobuaki Fukuda
465;Kenji Hamada
466;Saori Hayami
467;Yumi Toma
468;Yuko Kobayashi
469;Fujiko Takimoto
470;Mutsumi Tamura
471;Mayuki Makiguchi
472;Gamon Kaai
473;Akira Ishida
474;Yasuyuki Kase
475;Urara Takano
476;Sachiko Kojima
477;Takako Honda
478;Kyousuke Ikeda
479;Marika Hayashi
480;Umeji Sasaki
481;Masashi Sugawara
482;Hisao Egawa
483;Yuhko Kaida
484;Tsutomu Isobe
485;Hirotaka Suzuoki
486;Jun Karasawa
487;Harii Kaneko
488;Ikuo Nishikawa
489;Winslow Fegley
490;Lidya Jewett
491;Krysten Ritter
492;Beth Chalmers
493;David Holt
494;Marcel McCalla
495;Teresa Gallagher
496;Mark-Paul Gosselaar
497;Tiffani Thiessen
498;Mario Lopez
499;Lark Voorhies
500;Elizabeth Berkley
501;Dustin Diamond
502;Dennis Haskins
503;Michael Schumacher
504;Itatí Cantoral
505;Evan Spiridellis
506;Erin Fitzgerald
507;Jeff Gill
508;Evan Michael Lee
509;Jared Isaacman
510;Sian Proctor
511;Chris Sembroski
512;Hayley Arceneaux
513;Jack Whitehall
514;Michael Whitehall
515;Sola Sobowale
516;Adesua Etomi
517;"Remilekun ""Reminisce"" Safaru"
518;"Tobechukwu ""iLLbliss"" Ejiofor"
519;Paul Sambo
520;Jide Kosoko
521;Sharon Ooja
522;Bear Grylls
523;Jason Derek Prempeh
524;Daiki Yamashita
525;Jun Fukushima
526;Hiroki Yasumoto
527;Yoshitsugu Matsuoka
528;Junichi Suwabe
529;Ayaka Suwa
530;Megumi Han
531;Tomoaki Maeno
532;Tsubasa Yonaga
533;Hiroyuki Yoshino
534;Atsushi Abe
535;Koji Yusa
536;Kouki Miyata
537;Hiro Shimono
538;Wataru Hatano
539;Kenji Nojima
540;Mamoru Miyano
541;Yuma Uchida
542;Jun Fukuyama
543;Sumriddhi Shukla
544;Jigna Bharadwaj
545;Sonal Kaushal
546;Neshma Chemburkar
547;Ganesh Divekar
548;Annamaya Verma
549;Anamay Verma
550;Manoj Pandey
551;Vijay Sethupathi
552;Parthiban
553;Raashi Khanna
554;Thomas Brodie-Sangster
555;Felicity Jones
556;Freddie Highmore
557;Patrick Stewart
558;Meera Syal
559;Sanjeev Bhaskar
560;Nonso Anozie
561;Mary Elizabeth Winstead
562;Jun Kunimura
563;Woody Harrelson
564;Tadanobu Asano
565;Miyavi
566;Michiel Huisman
567;Miku Martineau
568;Tom Ellis
569;Lauren German
570;Kevin Alejandro
571;D.B. Woodside
572;Lesley-Ann Brandt
573;Scarlett Estevez
574;Rachael Harris
575;Aimee Garcia
576;Tricia Helfer
577;Tom Welling
578;Jeremiah W. Birkett
579;Pej Vahdat
580;Michael Gladis
581;Jo Koy
582;Funke Akindele
583;Ayo Makun
584;Chioma Chukwuka Akpotha
585;Yemi Eberechi Alade
586;Alexx Ekubo
587;Zubby Michael
588;Tina Mba
589;Femi Jacobs
590;Ikue Otani
591;Sarah Natochenny
592;Zeno Robinson
593;Cherami Leigh
594;James Carter Cathcart
595;Michele Knotz
596;Rodger Parsons
597;Ray Chase
598;Casey Mongillo
599;Tara Sands
600;David Kross
601;Hanno Koffler
602;Maria Ehrich
603;Robert Finster
604;Yung Ngo
605;Klaus Steinbacher
606;Livia Matthes
607;Nellie Thalbach
608;Jeon Hae-ri
609;Kim Eun-ah
610;Hong Bum-ki
611;Nam Do-hyeong
612;Um Sang-hyun
613;Malcolm X
614;Muhammad Ali
615;Sabina Malik
616;Lalit Agarwal
617;Rajesh Shukla
618;Emma Roberts
619;Danielle Macdonald
620;Awkwafina
621;Eiza González
622;Milla Jovovich
623;Jeremy Irvine
624;Arnaud Valois
625;Daniel Horvath
626;Pauline Etienne
627;Laurent Capelluto
628;Stefano Cassetti
629;Mehmet Kurtuluş
630;Babetida Sadjo
631;Jan Bijvoet
632;Ksawery Szlenkier
633;Vincent Londez
634;Regina Bikkinina
635;Alba Gaïa Kraghede Bellugi
636;Nabil Mallat
637;Elsa Öhrn
638;Mustapha Aarab
639;Jonay Pineda Skallak
640;Magnus Krepper
641;Loreen
642;Albin Grenholm
643;Simon Mezher
644;Elsa Bergström Terent
645;Josef Kadim
646;Yohannes Frezgi
647;Will Arnett
648;Ludacris
649;Natasha Lyonne
650;Stanley Tucci
651;Jordin Sparks
652;Gabriel Iglesias
653;Shaquille O'Neal
654;Omar Chaparro
655;Alan Cumming
656;Andy Beckwith
657;Delia Sheppard
658;Kerry Shale
659;Michelle Buteau
660;Ronnie Van Zandt
661;Gary Rossington
662;Allen Collins
663;Leon Wilkeson
664;Bob Burns
665;Billy Powell
666;Ed King
667;Artimus Pyle
668;Steve Gaines
669;Johnny Van Zant
670;Jack Fisher
671;Amanda C. Miller
672;Kim Yarbrough
673;Keith Ferguson
674;Lily Rose Silver
675;Antonio Aakeel
676;Chipo Chung
677;Simon Foster
678;Simon Greenall
679;Kate Harbour
680;Paul Panting
681;Rob Rackstraw
682;William Vanderpuye
683;Helen Walsh
684;Keith Wickham
685;Andres Williams
686;Jo Wyatt
687;Julie Delpy
688;Elisabeth Shue
689;Sarah Jones
690;Alexia Landeau
691;Mathieu Demy
692;Troy Garity
693;Timm Sharp
694;Giovanni Ribisi
695;Austin Abell
696;Travis Turner
697;Cole Howard
698;Anna Cummer
699;Jesse Inocalla
700;Brian Dobson
701;Michael Adamthwaite
702;Joseph Girgis
703;Caitlyn Bairstow
704;Omotola Jalade-Ekeinde
705;Yemi Blaq
706;Ken Erics
707;Toyin Aimakhu
708;Segun Arinze
709;Jibola Dabo
710;Rotimi Salami
711;Pa Jimi Solanke
712;Rachael Okonkwo
713;Bassey Okon
714;Lucien Morgan
715;Magdalena Korpas
716;Robyn Slade
717;Kami Desilets
718;Antony Varghese
719;Reshma Rajan
720;Binny Rinky Benjamin
721;Vineeth Vishwam
722;Kichu Tellus
723;Sreekanth Dasan
724;Sarath Kumar
725;Tito Wilson
726;Anandhu
727;Bitto Davis
728;Sinoj Varghese
729;Peyton List
730;Karan Brar
731;Skai Jackson
732;Miranda May
733;Kevin G. Quinn
734;Nathan Arenas
735;Nina Lu
736;Mandy Grace
737;David de Vos
738;Donna Rusch
739;Devan Key
740;Isabella Mancuso
741;Ariana Guido
742;Aubri Ibrag
743;Sana'a Shaik
744;Miah Madden
745;Mercy Cornwall
746;Georgia-May Davis
747;Ryan Harrison
748;Josh Heuston
749;Alexander Grant
750;Úrsula Corberó
751;Itziar Ituño
752;Álvaro Morte
753;Paco Tous
754;Enrique Arce
755;Pedro Alonso
756;María Pedraza
757;Alba Flores
758;Miguel Herrán
759;Jaime Lorente
760;Esther Acebo
761;Darko Peric
762;Kiti Mánver
763;Liam Mitchell
764;Dee Bradley Baker
765;Josh McDermitt
766;Kari Wahlgren
767;Ali Mawji
768;Michael Keaton
769;Amy Ryan
770;Shunori Ramanathan
771;Ato Blankson-Wood
772;Tate Donovan
773;Laura Benanti
774;Chris Tardio
775;Victoria Justice
776;Midori Francis
777;Robyn Scott
778;Adam Garcia
779;Timothy Renouf
780;Gloria Garcia
781;Myfanwy Waring
782;Spencer Sutherland
783;Madhuri Dixit
784;Shah Rukh Khan
785;Tinnu Anand
786;Johny Lever
787;Kalpana Iyer
788;Himani Shivpuri
789;Sudha Chandran
790;Beena
791;Kiran Kumar
792;Abbie Cornish
793;Ben Whishaw
794;Paul Schneider
795;Kerry Fox
796;Edie Martin
797;Claudie Blakley
798;Gerard Monaco
799;Antonia Campbell-Hughes
800;Samuel Roukin
801;Krrish Chhabria
802;Hetal Gada
803;Vipin Sharma
804;Gulfam Khan
805;Suresh Menon
806;Vijay Maurya
807;Rajiv Lakshman
808;Ninad Kamat
809;Akshay Oberoi
810;Pankaj Tripathi
811;Ragini Khanna
812;Aamir Bashir
813;Shalini Vatsa
814;Ashish Verma
815;Janine Gutierrez
816;JC Santos
817;Victor Anastacio
818;Yesh Burce
819;Lotlot De Leon
820;Jon Allen
821;Kellen Goff
822;Joe Hernandez
823;Kaiji Tang
824;Lee Ji-eun
825;Yeo Jin-goo
826;Shin Jung-geun
827;Seo Yi-sook
828;Bae Hae-sun
829;Pyo Ji-hoon
830;Cho Hyun-chul
831;Kang Hong-suk
832;Lee Do-hyun
833;Lee Tae-seon
834;Kang Mina
835;Park You-na
836;Oh Ji-ho
837;Meg Ryan
838;Mark Ruffalo
839;Jennifer Jason Leigh
840;Nick Damici
841;Sharrieff Pugh
842;Kevin Bacon
843;Yaani King Mondschein
844;Heather Litteer
845;Sean Hayes
846;Wanda Sykes
847;Laurie Metcalf
848;David Harbour
849;Gary Cole
850;Patti Harrison
851;Matt Rogers
852;Aadil Khan
853;Sadia Khateeb
854;Zain Khan Durrani
855;Priyanshu Chatterjee
856;Bhavna Chauhan
857;Ashwin Dhar
858;Farid Azad Khan
859;Saghar Sehrai
860;Hilary Duff
861;Chad Michael Murray
862;Jennifer Coolidge
863;Dan Byrd
864;Regina King
865;Julie Gonzalo
866;Lin Shaye
867;Madeline Zima
868;Andrea Avery
869;Mary Pat Gleason
870;Paul Rodriguez
871;Whip Hubley
872;Kevin Kilner
873;Erica Hubbard
874;Simon Helberg
875;Glenn Close
876;Terence Stamp
877;Max Irons
878;Christina Hendricks
879;Stefanie Martini
880;Julian Sands
881;Honor Kneafsey
882;Christian McKay
883;Amanda Abbington
884;Robert Redford
885;Jennifer Lopez
886;Morgan Freeman
887;Josh Lucas
888;Damian Lewis
889;Camryn Manheim
890;Becca Gardner
891;Lynda Boyd
892;Rob Hayter
893;P. Lynn Johnson
894;America Young
895;Amber May
896;Giselle Fernandez
897;Alejandro Saab
898;Dinora Walcott
899;Rutger Hauer
900;Sean Young
901;Edward James Olmos
902;M. Emmet Walsh
903;Daryl Hannah
904;William Sanderson
905;Brion James
906;Joe Turkel
907;Joanna Cassidy
908;James Hong
909;Morgan Paull
910;Tseng Yun-fan
911;Kao Yun-shuo
912;Chiang Ching-yen
913;Meng Ching-fu
914;Huang Bai-wei
915;Ma Kuo-yao
916;Chen Yen-chun
917;Sun Ke-fang
918;Kai Yang-niu
919;Chen Yu-wen
920;Nick Liao
921;Lin Kai-ling
922;Mickey Huang
923;Liu Kuan-ting
924;Jiang Du-hui
925;Sharlto Copley
926;Hugh Jackman
927;Sigourney Weaver
928;Dev Patel
929;Ninja
930;Yo-Landi Visser
931;Jose Pablo Cantillo
932;Brandon Auret
933;Johnny Selema
934;Maurice Carpede
935;Willem Dafoe
936;Anne Archer
937;Joaquim de Almeida
938;Henry Czerny
939;Donald Moffat
940;Miguel Sandoval
941;Benjamin Bratt
942;Dean Jones
943;Thora Birch
944;James Earl Jones
945;Raymond Cruz
946;Sylvester Stallone
947;John Lithgow
948;Michael Rooker
949;Janine Turner
950;Rex Linn
951;Caroline Goodall
952;Leon
953;Craig Fairbrass
954;Ralph Waite
955;Max Perlich
956;Paul Winfield
957;Jude Law
958;Nicole Kidman
959;Renée Zellweger
960;Eileen Atkins
961;Philip Seymour Hoffman
962;Natalie Portman
963;Donald Sutherland
964;Ray Winstone
965;Paul Hogan
966;Linda Kozlowski
967;Jere Burns
968;Jonathan Banks
969;Aida Turturro
970;Alec Wilson
971;Gerry Skilton
972;Steve Rackman
973;Serge Cockburn
974;Mark Adair-Rios
975;Tiriel Mora
976;Grant Piro
977;Mike Tyson
978;Channing Tatum
979;Amanda Seyfried
980;Richard Jenkins
981;D.J. Cotrona
982;Cullen Moss
983;Gavin McCulley
984;Jose Lucena Jr.
985;Keith Robinson
986;Scott Porter
987;Danny Aiello
988;Ossie Davis
989;Ruby Dee
990;Richard Edson
991;Spike Lee
992;Bill Nunn
993;John Turturro
994;Paul Benjamin
995;Frankie Faison
996;Samuel L. Jackson
997;Rosie Perez
998;Martin Lawrence
999;Joaquín Furriel
1000;Luis Ziembrowski
1001;Guillermo Pfening
1002;Mónica Lairana
1003;Germán de Silva
1004;Victoria Raposo
1005;Andrea Garrote
1006;Bruce Willis
1007;Kellan Lutz
1008;Gina Carano
1009;D.B. Sweeney
1010;Joshua Mikel
1011;Steve Coulter
1012;Dan Bilzerian
1013;Heather Johansen
1014;Hilary Swank
1015;Patrick Dempsey
1016;Imelda Staunton
1017;April L. Hernandez
1018;Mario
1019;Kristin Herrera
1020;Jaclyn Ngan
1021;Sergio Montalvo
1022;Jason Finn
1023;Deance Wyatt
1024;Vanetta Smith
1025;Blake Lively
1026;Peter Sarsgaard
1027;Mark Strong
1028;Tim Robbins
1029;Jay O. Sanders
1030;Taika Waititi
1031;Angela Bassett
1032;Christopher Reid
1033;Christopher Martin
1034;Robin Harris
1035;Tisha Campbell
1036;A.J. Johnson
1037;Paul Anthony
1038;Bowlegged Lou
1039;B-Fine
1040;Edith Fields
1041;Kelly Jo Minter
1042;Clifton Powell
1043;Verda Bridges
1044;Kamron
1045;Iman
1046;Queen Latifah
1047;David Edwards
1048;Angela Means
1049;Ketty Lester
1050;Bernie Mac
1051;Michael Colyar
1052;Chris Tucker
1053;Khandi Alexander
1054;Hakeem Kae-Kazim
1055;Chioma Omeruah
1056;Orukotan Adejola
1057;Flora Chiedo
1058;Emeka Nwagbaraocha
1059;Anthony Oseyemi
1060;Oluwabukola Thomas
1061;Soibifaa Dokubo
1062;Master P
1063;Anthony Johnson
1064;Gretchen Palmer
1065;Frantz Turner
1066;Richard Keats
1067;Joe Estevez
1068;William Knight
1069;Anthony Boswell
1070;Tommy 'Tiny' Lister
1071;Helen Martin
1072;John Witherspoon
1073;Mia X
1074;Omar Epps
1075;LL Cool J
1076;Nia Long
1077;Pam Grier
1078;Hill Harper
1079;Jake Weber
1080;David Patrick Kelly
1081;Veronica Webb
1082;Ron Canada
1083;Robert LaSardo
1084;Gano Grills
1085;Ivonne Coll
1086;Don Harvey
1087;Mya
1088;Nasir 'Nas' Jones
1089;Jermaine Dupri
1090;Jay Chou
1091;Anne Suzuki
1092;Edison Chen
1093;Anthony Wong Chau-sang
1094;Shawn Yue
1095;Chapman To
1096;Jordan Chan
1097;Kenny Bee
1098;Jai Brooks
1099;Luke Brooks
1100;James Yammouni
1101;Daniel Sahyounie
1102;Beau Brooks
1103;Lori Gardner
1104;Kate Bristol
1105;Billy Bob Thompson
1106;Marc Thompson
1107;Erica Schroeder
1108;Kensho Ono
1109;Yuki Ono
1110;Chiwa Saito
1111;Yoshimasa Hosoya
1112;Hirofumi Nojima
1113;Takuya Eguchi
1114;Soichiro Hoshi
1115;Tatsuhisa Suzuki
1116;Go Inoue
1117;Ryohei Kimura
1118;Kazuya Nakai
1119;Kenichi Suzumura
1120;Hiroshi Kamiya
1121;David Bowie
1122;Jennifer Connelly
1123;Frank Oz
1124;Kevin Clash
1125;Anthony Asbury
1126;Dave Goelz
1127;Brian Henson
1128;Ron Mueck
1129;Karen Prell
1130;Shari Weiser
1131;Christopher Egan
1132;Gael García Bernal
1133;Vanessa Redgrave
1134;Franco Nero
1135;Luisa Ranieri
1136;Marina Massironi
1137;Milena Vukotic
1138;Marcia DeBonis
1139;Luisa De Santis
1140;Lidia Biondi
1141;Giordano Formenti
1142;Chris Egan
1143;Katie Douglas
1144;Celina Martin
1145;Peter Outerbridge
1146;Sara Canning
1147;Alexis Whelan
1148;Amalia Williamson
1149;Josette Halpert
1150;Kiana Madeira
1151;Nick Cannon
1152;Christina Milian
1153;Kenan Thompson
1154;Kal Penn
1155;Steve Harvey
1156;Al Thompson
1157;Ashley Monique Clark
1158;Elimu Nelson
1159;Nichole Robinson
1160;Melissa Schuman
1161;Miriam Chin Wah Yeung
1162;Singh Hartihan Bitto
1163;Isabel Chan
1164;Cheung Tat-ming
1165;Matt Chow
1166;Chui Tien-you
1167;Queenie Chu
1168;Charmaine Fong
1169;Vincent Kok
1170;Gerald McRaney
1171;Shanna Reed
1172;Nicole Dubuc
1173;Chelsea Hertford
1174;Marisa Ryan
1175;Matt Mulhern
1176;Beverly Archer
1177;Jon Cypher
1178;Jack Nicholson
1179;Annette Bening
1180;Pierce Brosnan
1181;Danny DeVito
1182;Martin Short
1183;Sarah Jessica Parker
1184;Michael J. Fox
1185;Rod Steiger
1186;Tom Jones
1187;Lukas Haas
1188;Chadwick Boseman
1189;Josh Gad
1190;Kate Hudson
1191;Sterling K. Brown
1192;Dan Stevens
1193;James Cromwell
1194;Keesha Sharp
1195;Roger Guenveur Smith
1196;Derrick Baskin
1197;Barrett Doss
1198;Ashton Kutcher
1199;Tara Reid
1200;Jeffrey Tambor
1201;Andy Richter
1202;Michael Madsen
1203;Jon Abrahams
1204;David Koechner
1205;Carmen Electra
1206;Molly Shannon
1207;Ben Stiller
1208;Hank Azaria
1209;William H. Macy
1210;Janeane Garofalo
1211;Kel Mitchell
1212;Paul Reubens
1213;Wes Studi
1214;Greg Kinnear
1215;Geoffrey Rush
1216;Lena Olin
1217;Eddie Izzard
1218;Artie Lange
1219;Pras
1220;Claire Forlani
1221;Tom Waits
1222;Patricio Contreras
1223;Alejandro Goic
1224;Sergio Hernández
1225;Mariana Loyola Ruz
1226;Alejandro Trejo
1227;Daniel Alcaíno Cuevas
1228;Nicolás Poblete
1229;Susana Hidalgo
1230;Gloria Münchmeyer
1231;Robert De Niro
1232;James Woods
1233;Elizabeth McGovern
1234;Treat Williams
1235;Tuesday Weld
1236;Burt Young
1237;Joe Pesci
1238;William Forsythe
